id,success,tokenNum,teamSize,country,categories,overallrating,offered_ownership,enddate,startdate,tokenName,tokenPrice,tokenType,platform,acceptingCurrency,softcap,hardcap,whitepaper,video,socialMedia
428,0,11,5,Colombia,Manufacturing,2.3,,"Monday, 28 May, 2018","Saturday, 14 April, 2018",BPC,"1 ETH = 1,260 BPC",ERC20,Ethereum,ETH,,,,,
429,0,0,4,USA,"Business services,Platform,Software,Big Data",2.3,0.6,"Sunday, 14 January, 2018","Saturday, 23 December, 2017",ARY,1 ARY = 0.18 USD,ERC20,Ethereum,ETH,0,1,1,0,2
430,1,7000000000,3,UK,Investment,1.8,0.7,"Monday, 30 April, 2018","Sunday, 11 March, 2018",CDM,"1 ETH = 150,000 CDM",ERC20,Ethereum,ETH,0,0,0,0,0
431,0,35000000,9,Thailand,"Banking,Smart Contract,Software,Tourism",2.4,,"Friday, 13 April, 2018","Monday, 9 April, 2018",TKT,1 ETH = 1000 TKT,,Ethereum,,0,1,1,1,0
432,0,1,17,New Zealand,"Communication,Cryptocurrency,Infrastructure,Internet,Investment,Platform,Software",2.8,1,"Sunday, 20 May, 2018","Tuesday, 20 March, 2018",HDC,1 HDC = 0.02 USD,ERC20,Ethereum,"ETH, BTC",0,1,1,0,0
433,1,,5,Switzerland,"Software,Platform",4,,"Monday, 16 October, 2017","Wednesday, 4 October, 2017",EDO,1 EDO = 2.30 USD,ERC20,Ethereum,ETH,0,0,1,1,3
434,1,24157817,13,Malta,"Artificial Intelligence,Big Data,Investment,Legal,Platform,Software",4.2,0.62,"Wednesday, 21 March, 2018","Thursday, 8 March, 2018",PHI,1 PHI = 1.61803 USD,ERC20,Ethereum,ETH,0,0,1,1,0
435,1,750000000,17,Spain,"Platform,Business services,Real estate,Retail",4.5,0.5,"Friday, 1 June, 2018","Tuesday, 1 May, 2018",BRETT,1 ETH = 30000 BRETT,ERC20,Ethereum,"ETH, BTC, Fiat",1,1,1,1,0
436,0,5.50E+11,5,Canada,Sports,2.5,0.55,"Wednesday, 25 April, 2018","Monday, 12 March, 2018",SCOUT,1 ETH = 10000000 SCOUT,ERC20,Ethereum,ETH,0,1,1,0,0
437,0,140000000,8,Cyprus,Tourism,3.2,0.4,"Friday, 1 June, 2018","Thursday, 1 February, 2018",ACO,1 ACO = 0.007 - 0.0045 ETH,ERC20,Ethereum,ETH,1,1,1,1,0
438,1,168000000,7,Singapore,"Communication,Cryptocurrency",3.5,0.7,"Monday, 30 April, 2018","Sunday, 15 April, 2018",CSM,1CSM = 0.25 USD,ERC20,Ethereum,"ETH, USD",1,1,1,1,1
439,1,101000000,4,Singapore,"Business services,Platform",3.6,,"Friday, 28 April, 2017","Monday, 27 March, 2017",TaaS,1 TaaS = 1 USD,,Ethereum,,0,0,1,1,0
440,0,360000000,34,Luxembourg,"Platform,Cryptocurrency,Business services,Internet",2.6,0.6,"Sunday, 4 March, 2018","Sunday, 11 February, 2018",PCO,"1 ETH = 10,000 PCO",ERC23,,,0,0,1,0,0
441,1,27000000,5,France,"Platform,Communication,Cryptocurrency,Entertainment,Business services",2.4,0.9,"Friday, 15 December, 2017","Friday, 17 November, 2017",MTIP,1 ETH = 600-800 MTIP,,Ethereum,ETH,1,1,1,1,0
442,0,0,15,Australia,Entertainment,1.8,,"Friday, 30 March, 2018","Tuesday, 2 January, 2018",CHA,1 CHA = 2 USD,ERC20,Ethereum,,0,0,1,1,0
443,0,10000000,7,Lithuania,"Retail,Platform",1.6,0.5,"Friday, 22 December, 2017","Tuesday, 21 November, 2017",SAL,1 ETH = 1000 SAL,ERC20,Ethereum,ETH,0,1,0,0,0
444,0,210000000,12,USA,"Cryptocurrency,Business services,Investment",4.5,,"Thursday, 15 March, 2018","Saturday, 10 February, 2018",OPL,1 OPL = 0.000142857 ETH,ERC20,Ethereum,ETH,0,0,1,1,0
445,1,254000000,18,Singapore,"Business services,Cryptocurrency,Energy,Infrastructure,Investment,Platform,Smart Contract,Software",3.4,0.75,"Friday, 8 June, 2018","Sunday, 1 April, 2018",BWT,"1 ETH = 3,383 BTW",ERC20,Ethereum,"BTC, ETH, COSS",1,1,1,1,0
446,0,3038234,7,Netherlands,Investment,2.5,0.23,"Wednesday, 11 April, 2018","Friday, 16 March, 2018",STRN,"1 STRN = 0,12 USD",ERC20,Ethereum,ETH,0,0,1,1,0
447,0,300000000,4,USA,Retail,1.8,0.3,"Thursday, 19 October, 2017","Wednesday, 19 July, 2017",VCB,2000 VCB = 1 ETH,,,ETH,1,1,1,1,0
448,1,,9,Russia,"Business services,Platform,Cryptocurrency,Investment",3.3,,"Sunday, 24 December, 2017","Thursday, 30 November, 2017",UTT,800 UTT = 1 ETH,ERC20,Ethereum,"BTC, ETH, Fiat",0,1,1,1,1
449,0,298000000,6,Russia,Tourism,1.6,,"Sunday, 15 October, 2017","Friday, 15 September, 2017",AbabCoin,Determined at the time of the  tokensale launch.,,Ethereum,ETH,1,1,0,0,0
450,1,,13,Switzerland,"Platform,Cryptocurrency,Business services,Investment,Banking",3.5,0.45,"Saturday, 30 December, 2017","Wednesday, 15 November, 2017",FIN,1 FIN = 2 USD,ERC20,Ethereum,"BTC, ETH, Fiat",0,1,1,1,0
451,1,500000000,14,UK,Banking,3.1,0.75,"Friday, 1 June, 2018","Wednesday, 28 February, 2018",BBRT,1 BBRT = 0.5 - 0.6 USD,ERC20,,,0,1,1,1,0
452,1,256250000,18,UK,"Platform,Business services,Investment",3.6,0.8,"Sunday, 1 April, 2018","Wednesday, 31 January, 2018",SED,"1 ETH = 2,000 SED",,Ethereum,ETH,1,1,1,1,3
453,0,12000000,2,Afghanistan,Health,1.7,0.6,"Monday, 11 June, 2018","Monday, 14 May, 2018",GYM,1 ETH = 1000 GYM,ERC20,Ethereum,ETH,1,1,1,0,0
454,1,750000000,2,Indonesia,"Energy,Platform,Investment",2.3,,"Tuesday, 24 April, 2018","Sunday, 25 March, 2018",GRD,"1 ETH = 10,000 GRD",ERC20,Ethereum,ETH,0,1,1,0,0
455,1,4,16,Netherlands,"Banking,Platform",3.3,0.97,"Friday, 13 April, 2018","Thursday, 1 March, 2018",WZI,1 WZI = 0.01 EUR,ERC20,Ethereum,"ETH, BTC",0,1,1,0,0
456,1,100000000,0,France,Software,1.3,,"Wednesday, 30 November, 2016","Tuesday, 1 November, 2016",NxC,,,Ethereum,"ETH, BCY",0,0,0,0,0
457,1,9500000,16,Switzerland,Investment,3.5,0.57,"Wednesday, 28 February, 2018","Saturday, 3 February, 2018",TND,1 TND = 10 CHF,ERC20,Ethereum,"ETH, Fiat",1,1,1,1,0
458,1,336600000,21,Lithuania,"Education,Platform",4,0.51,"Friday, 29 December, 2017","Friday, 1 December, 2017",BDG,"1 ETH = 10,000 BDG",,Ethereum,ETH,1,1,1,1,0
459,0,90000000,18,Singapore,"Platform,Internet,Software",2.1,0.6,"Monday, 18 September, 2017","Friday, 18 August, 2017",ATT,600 ATT = 1 ETH,ERC20,Ethereum,ETH,1,1,1,0,0
460,0,250000000,16,Singapore,Platform,3.6,0.5,"Sunday, 10 June, 2018","Friday, 25 May, 2018",MAS,"1 ETH = 10,000 MAS",ERC20,Ethereum,ETH,1,1,1,1,3
461,1,350000000,12,Mexico,Health,4.2,0.35,"Sunday, 15 April, 2018","Monday, 29 January, 2018",MTC,"1 ETH =  28,571 MTC",ERC20,Ethereum,,1,1,1,1,0
